record_id,sentence,gold_sentiment
36,EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet .,NEGATIVE
37,"Altona stated that the private company of Altona chairman Kevin Maloney , Tulla Resources , would take up its entitlement in full .",NEUTRAL
38,The recent troubles simply make NETeller cheaper .,NEGATIVE
39,Subscription sales decreased slightly .,NEGATIVE
40,Net profit fell by almost half to +é 5.5 million from +é 9.4 million at the end of 2007 .,NEGATIVE
41,"Ahlstrom , headquartered in Helsinki , Finland , is a global leader in the development , manufacture and marketing of high performance fibre-based materials .",NEUTRAL
42,"Finnish IT consultancy Satama Interactive Oyj posted a net profit of 1.4 mln euro $ 2.0 mln for the first nine months of 2007 , compared to a net loss of 462,000 euro $ 664,000 for the same period of 2006 .",POSITIVE
43,Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .,NEGATIVE
44,"According to Kesko , the company agreed with the city administration about lease of the building in 2006 , its resettlement and construction of a five-star hotel Hilton for 120 rooms .",POSITIVE
45,Reported operating margin was a negative 5.9 % .,NEGATIVE
46,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",POSITIVE
47,"The first four of the new shop-in-shops will be opened this spring : on Madison Avenue in New York as well as in Chicago , Los Angeles and San Francisco .",NEUTRAL
48,"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .",NEUTRAL
49,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,POSITIVE
50,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",POSITIVE
51,"Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before .",NEGATIVE
52,SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) .,POSITIVE
53,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",POSITIVE
54,The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,NEGATIVE
55,Finnish Bank of +àland will launch its long-term pension savings account at the beginning of June 2010 .,NEUTRAL
56,"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan .",NEGATIVE
57,"Initial estimated total value of the contract was 250 000 Euros , excluding VAT .",NEUTRAL
58,The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,NEGATIVE
59,"It is part of the development of the world-class magnetite deposit at Karara , which has the known potential for over 30 million metric tons of annual processing of magnetite over its estimated 30-year life .",NEUTRAL
60,"The OMX Helsinki index was 0.33 pct lower at 9,364.80 , while the OMX Helsinki CAP portfolio index was down 0.34 pct at 5,029.25 .",NEGATIVE
61,Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .,POSITIVE
62,Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .,NEGATIVE
63,"A few months ago , Teva vice chairman Phillip Frost and Marathon Venture Capital Fund TASE : MARA sold Protalix shares .",NEUTRAL
64,"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia .",NEUTRAL
65,"The firm 's services include copying , printing , CAD-modelling , digital printing , scanning , SokoPro project bank and courier services .",NEUTRAL
66,"Equipment will be manufactured in Vaahto 's workshop in Hollola , Finland and is scheduled for shipments during the first quarter of 2009 .",NEUTRAL
67,"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .",POSITIVE
68,Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland .,NEGATIVE
69,"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years .",POSITIVE
70,"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn .",NEGATIVE
71,"Koff 's market share of the volume of the market was 23.4 % , Karhu 's 21.4 % .",NEUTRAL
72,"Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier .",NEGATIVE
73,Finnish consumer packaging manufacturer Huhtamaki Oyj said it swung to a net profit of 84.1 mln euro $ 105.6 mln in the first nine months of 2006 from a net loss of 2.6 mln euro $ 3.3 mln in the same period of 2005 .,POSITIVE
74,"The device can also be used for theft protection and positioning of vehicles , boats and other assets .",NEUTRAL
75,"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",NEGATIVE
76,The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running .,NEGATIVE
77,"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",NEUTRAL
78,"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .",NEGATIVE
79,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",POSITIVE
80,UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' .,NEUTRAL
81,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,POSITIVE
82,"The final price will be specified by 14 May 2010 , the acquiring company said .",NEUTRAL
83,"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .",POSITIVE
84,The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,NEUTRAL
85,The arrangements do not apply to the group 's units outside Finland .,NEUTRAL
86,"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",NEGATIVE
87,These module products will be available for trials during 3Q-07 and for volume deliveries during 4Q-07 .,NEUTRAL
88,The sellers were the founders of the company .,NEUTRAL
89,"EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008 .",POSITIVE
90,17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,NEGATIVE
91,"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",NEGATIVE
92,"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",NEGATIVE
93,Otherwise the situation is under control .,NEUTRAL
94,28 October 2010 - Finnish wood products technology supplier Raute Oyj HEL : RUTAV said today it swung to a net profit of EUR3m for the first nine months of 2010 versus a net loss of EUR5 .2 m for the same period a year earlier .,POSITIVE
95,down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,NEGATIVE
96,"The refining margin for the year was $ 13.39 - bbl , compared to $ 10.46 - bbl in the prior year .",POSITIVE
97,"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year .",POSITIVE
98,"Lemminkainen Infra Oy 's subsidiary Lemminkainen Sverige AB will perform the construction work , which is expected to start in early 2011 and to be completed in the summer of 2013 .",NEUTRAL
99,Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,NEGATIVE
100,Olvi expects sales and market share to increase in the first quarter of 2010 .,POSITIVE
101,Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,NEGATIVE
102,"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 .",NEGATIVE
103,"The announcement pushed Freenet shares down 6.3 % , or EUR0 .71 , in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet .",NEGATIVE
104,"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 .",NEGATIVE
105,Profit after taxes totaled EUR 12.1 mn .,NEUTRAL
106,The transactions would increase earnings per share in the first quarter by some EUR0 .28 .,POSITIVE
107,Cash Flow from Operations for the most recent quarter also reached a eight year low .,NEGATIVE
108,"2010 16 July 2010 - Finnish steel maker Rautaruukki Oyj HEL : RTRKS , or Ruukki , said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year .",POSITIVE
109,"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year .",NEGATIVE
110,Finnish forest machinery manufacturer Ponsse has issued a profit warning .,NEGATIVE
111,"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .",POSITIVE
112,"Last year , UPM cut production , closed mills in Finland and slashed 700 jobs .",NEGATIVE
113,"Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy .",POSITIVE
114,"Mobile phone shipments jumped 26 percent to almost 112 million units , while Finnish company 's global market share rose to 39 percent from 36 percent .",POSITIVE
115,Finnish fibers and plastics producer Suominen Corporation OMX Helsinki : SUY1V reported on Wednesday 22 October an operating loss of EUR0 .8 m on net sales of EUR55 .2 m for the third quarter of 2008 .,NEUTRAL
116,"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 .",NEGATIVE
117,"Operating profit decreased to nearly EUR 1.7 mn , however .",NEGATIVE
118,"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .",NEGATIVE
119,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",POSITIVE
120,The deal includes an option for Cramo to buy out the minority stake in 2011 .,NEUTRAL
121,"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .",POSITIVE
122,"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",POSITIVE
123,The operating margin came down to 2.4 % from 5.7 % .,NEGATIVE
124,"In Q1 of 2009 , Bank of +àland 's net interest income weakened by 10 % to EUR 9.1 mn .",NEGATIVE
125,"`` This is a significant milestone for Benefon , helping us to secure critical USP 's for our personal navigation product roadmap for 2007 and beyond , '' commented Simon Button , Chief Technology Officer at Benefon .",POSITIVE
126,"The total scholarship amount was 40,000 euros and the recipients were chosen on the recommendation of fine arts universities and sports associations .",NEUTRAL
127,"`` The transaction strengthens our position ... in design and branded goods , '' said Fiskars president and CEO Heikki Allonen , pointing out that the two groups have relatively few overlapping operations .",POSITIVE
128,"The unit 's clients are mainly in the field of specialist convenience goods , as well as in the textile , shoe and furniture businesses .",NEUTRAL
129,"By 14:29 CET on Monday , shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month .",POSITIVE
130,CS Cabot 's main consumers on the Czech and Slovak market are tires producers Barum Continental and Matador Continental .,NEUTRAL
131,"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",NEGATIVE
132,"The Tekla Structures product box , if needed , is now made from recycled material .",NEUTRAL
133,"Under the agreement , Larox will transfer 10 employees within engineering and documentation related to delivery projects and product maintenance in Finland to Etteplan as of January 1 , 2007 .",NEUTRAL
134,"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",POSITIVE
135,"The ship cranes , which will be manufactured by MacGREGOR 's partner plants in China , will be delivered between 2008-2010 for vessels ordered by Chinese COSCO , German Peter Dohle and Hong Kong based Cido Shipping .",NEUTRAL
136,Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,POSITIVE
137,"ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57",POSITIVE
138,3 January 2011 - Finnish flag carrier Finnair Oyj ( HEL : FIA1S ) said today it sealed a nine-year sale and leaseback agreement for its newest Airbus A330 aircraft for syndication into the Japanese operating lease market .,POSITIVE
139,"The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004 .",NEGATIVE
140,"1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya , Building 1 Telephone : 495 777-34-77 ext. 3932 , 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place .",NEUTRAL
141,We make available the following brand-new market analyses : Cement - UK Cement - Poland Cement - Belgium These analyses give a clear overview of the actual situation and future outlook of the cement industry in some European countries .,NEUTRAL
142,All depends on financing .,NEUTRAL
143,"However , the growth margin slowed down due to the financial crisis .",NEGATIVE
144,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",POSITIVE
145,"Lee & Man Paper and Metso have a long and prosperous co-operation , a good example of which are the Changshu and Hongmei kraftliner machines delivered earlier .",POSITIVE
146,The bridge is part of the highway 14 development project .,NEUTRAL
147,"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries .",NEUTRAL
148,"HK Ruokatalo produces many turkey products , such as cold cuts .",NEUTRAL
149,The rebuilds are designed to improve the machines ' performance and product quality .,POSITIVE
150,"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",NEGATIVE
151,Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 .,NEGATIVE
152,"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year .",NEGATIVE
153,Pohjola and cooperative banks have continued to combine their branch office network .,NEUTRAL
154,Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .,NEGATIVE
155,"In a recent interview with the Financial Times ( FT ) , Sampo 's board chairman Bjorn Wahlroos said If P&C was certainly for sale and the price had been set at SEK 85 billion , confirming earlier statements .",NEUTRAL
156,Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,POSITIVE
157,"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta .",NEUTRAL
158,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",POSITIVE
159,"The connectivity unit has more than 100 e-invoice customers , and the number of annual transactions stands at nearly one million .",NEUTRAL
160,The event can also be viewed as a live audio webcast at www.ahlstrom.com .,NEUTRAL
161,"The Tekla Structures 16 installation has been built according to Microsoft 's requirements for the Windows 7 certification , the Company added .",NEUTRAL
162,Scanfil issued a profit warning on 10 April 2006 .,NEGATIVE
163,"Operating profit excluding non-recurring items decreased to EUR 6.2 mn from EUR 16.8 mn in 2007 , representing 2.3 % of net sales .",NEGATIVE
164,"Several large stocks tacked lower , however .",NEGATIVE
165,"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 .",NEGATIVE
166,"Cash flow after investments amounted to EUR45m , down from EUR46m .",NEGATIVE
167,Nordea sees a return to positive growth for the Baltic countries in 2011 .,POSITIVE
168,"At the same time , sales development in Russia was boosted by the opening of Stockmann Nevsky Centre in St Petersburg .",POSITIVE
169,"Finnish plumbing and heating systems supplier Uponor 's net sales in continuing business operations decreased to EUR 249.1 mn in July-September 2008 , compared to EUR 262.1 mn in the third quarter of 2007 .",NEGATIVE
170,"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",NEGATIVE
171,"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008 .",NEGATIVE
172,"STX Finland Oy signed a a preliminary agreement for the building of an environmentally friendly , new generation cruise ferry for Viking Line to manage on between Turku , Finland , and Stockholm , Sweden withViking Line ABP .",POSITIVE
173,"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",POSITIVE
174,Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,POSITIVE
175,"The company has a continuous need for alloys such as nickel , ferro-chrome , molybdenum and manganese in its production , said Talvivaara .",NEUTRAL
176,Total operating revenue grew by 27.6 % year-on-year to EUR61m .,POSITIVE
177,"The company said that its investments in the new market areas resulted in sales increase in Sweden , Poland , Russia and Lithuania .",POSITIVE
178,"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",POSITIVE
179,"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",NEGATIVE
180,"Finnish property investment company Citycon will expand and refurbish +àkersberga shopping center in Stockholm , in Sweden .",NEUTRAL
181,Each year the dividend is deducted from the subscription price .,NEUTRAL
182,"The offer of some 30 million shares aimed to raise more than  x20ac 500 million US$ 640 million , was expected to be completed by Oct. 9 , Outokumpu said .",NEUTRAL
183,Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULTS,NEGATIVE
184,"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .",NEGATIVE
185,"The interim report for the first quarter is published on May 8 , 2009 .",NEUTRAL
186,"The divested company is part of TietoEnator 's business area Government , Manufacturing & Retail .",NEUTRAL
187,The phones are targeted at first time users in growth markets .,NEUTRAL
188,No financial details were revealed .,NEUTRAL
189,"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",NEUTRAL
190,"mr Bakman sees also expansion options on the Tallinn-Helisnki link , claiming however , that operating the link with only a single ship is not enough .",NEUTRAL
191,"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , has a plant near Warsaw , in Poland , that makes flexible packaging .",NEUTRAL
192,"Samsung currently occupies third place and lost ground during the quarter , dropping by 1.8 % to an 11.1 % share overall .",NEGATIVE
193,"Exel 's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 , 2007 .",NEUTRAL
194,"Under a preliminary estimation , the technology park will measure about 50,000 square meters .",NEUTRAL
195,"However , the bottom-line result improved thanks to positive financial items .",POSITIVE
196,Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,NEGATIVE
197,Nokia Siemens Networks has struggled to make a profit in the past two years .,NEGATIVE
198,"( ADP News ) - Feb 9 , 2009 - Finnish computer services company Proha Oyj ( HEL : ART1V ) said today its net loss narrowed to EUR 113,000 ( USD 146,000 ) for 2008 from EUR 1.2 million for 2007 .",POSITIVE
199,"The product advisory does not apply to any other Nokia-branded battery , the company said .",NEUTRAL
200,Competition authorities will have to approve the deal before it can be finalized .,NEUTRAL
201,"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .",POSITIVE
202,"Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008 .",POSITIVE
203,Finnish forest industry group Stora Enso Oyj issued on Thursday ( 20 March ) a profit warning for the first quarter 2008 .,NEGATIVE
204,Filmiteollisuus Fine Ab will be transferred to Talentum Oyj in the form of a subsidiary .,NEUTRAL
205,Finland 's Poyry Energy has won a contract to advise builders of a new cogeneration power plant in Lithuania 's second-biggest city of Kaunas and to supervise the construction process .,POSITIVE
206,"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",NEGATIVE
207,It is a disappointment to see the plan folded .,NEGATIVE
208,The energy sector accounted for approximately 33 % and the steel industry for about 57 % of the transportation volume .,NEUTRAL
209,"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",NEGATIVE
210,"The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) .",POSITIVE
211,"Finnish consulting and engineering group Poyry Plc ( OMX Helsinki : POY ) said on Wednesday ( 1 October ) that it has been awarded a contract by Tanqia Dibba FZC as owner-engineer for the wastewater system of Dibba , Emirate of Fujairah , UAE .",POSITIVE
212,"Finnish Cargotec 's Kalmar , the business area providing container handling solutions , has been awarded an order for a further ten E-One rubber-tyred gantry RTG cranes from Saigon Newport Company SNP , in Vietnam .",POSITIVE
213,"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .",NEGATIVE
214,"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",NEGATIVE
215,Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .,POSITIVE
216,"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008 , compared to EUR 8.4 in the corresponding period in 2007 .",NEGATIVE
217,He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State .,NEUTRAL
218,"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .",NEGATIVE
219,"Konecranes Oyj KCR1V FH fell 5.5 percent to 20.51 euros , the biggest fall since June .",NEGATIVE
220,Mr Skogster currently serves as the manager responsible for ABB Oy 's system modules for low voltage drives .,NEUTRAL
221,"In Finland , the Bank of +àland reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 .",NEGATIVE
222,Finnish Raute Precision that supplies weighing and dosing systems and plants is changing its name to Lahti Precision .,NEUTRAL
223,Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million .,NEGATIVE
224,A meeting of Glisten shareholders to vote on the bid will be held on 12 March .,NEUTRAL
225,"We went to the market with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8th .",NEUTRAL
226,"Operating profit for the nine-month period decreased from EUR19 .9 m while net sales increased from EUR155 .7 m , as compared to the corresponding period in 2007 .",NEGATIVE
227,"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team .",NEGATIVE
228,Ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010 .,POSITIVE
229,Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,NEUTRAL
